gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	B	regulation
ENSBIXG00005029359	1.3104336232273024	4.954438252908702	5.389613031742238	2.0516505050556462e-4	0.028694220005934815	0.8078820176188195	up
ENSBIXG00005015746	-1.36317623760901	4.462868598437593	-5.372741252772655	2.105851345119804e-4	0.028694220005934815	0.8054876631360486	down
ENSBIXG00005001982	-1.3392973179485983	5.729142160519393	-5.425046985843318	1.9425722487983254e-4	0.0278617244448434	0.7993308496231863	down
ENSBIXG00005011368	-1.6420108041194235	4.061345975304327	-5.331459413451833	2.2449670807798947e-4	0.028694220005934815	0.790183654591047	down
ENSBIXG00005020961	-1.544725370952765	4.786291391502847	-5.354782466645024	2.1652143509182144e-4	0.028694220005934815	0.7541418930996651	down
ENSBIXG00005003236	5.677508236086952	-0.7956907467545828	5.873160631291287	9.884756613127208e-5	0.02035143841396271	0.7508672266119669	up
ENSBIXG00005002416	-1.2931765997929894	4.670684591679517	-5.333292324463626	2.2385882486316585e-4	0.028694220005934815	0.7333781449476415	down
ENSBIXG00005006455	-4.790989023215421	-1.2253748630996686	-5.696626552039424	1.2855561394090672e-4	0.02382964992371275	0.7267690278195511	down
ENSBIXG00005009142	-1.566981211499161	3.4625788351206137	-5.259049845145456	2.5130111451825214e-4	0.030682810278439956	0.7165511520511352	down
ENSBIXG00005027312	-3.1507156311843323	2.8133475006659148	-5.182814363689713	2.832148004328867e-4	0.03256970204978197	0.6939626366315226	down
ENSBIXG00005018941	-1.4884778102147918	5.670560378504129	-5.352534463028207	2.1727690441609112e-4	0.028694220005934815	0.6896586144635455	down
ENSBIXG00005008859	4.973187082848716	0.8630491646120294	5.526703578006321	1.662408005890529e-4	0.027539601151248132	0.6741407559218748	up
ENSBIXG00005022036	-1.2551141581391176	5.776653717278127	-5.258199706269377	2.5163522999689495e-4	0.030682810278439956	0.5342055580421299	down
ENSBIXG00005010712	-1.8986233185223123	5.240711093996129	-5.20784284292798	2.722891966733786e-4	0.03256970204978197	0.4922395547302063	down
ENSBIXG00005012678	3.4232035063452386	0.7948267563018787	5.184954819858887	2.8226255546389366e-4	0.03256970204978197	0.4899968432489663	up
ENSBIXG00005026993	2.4381193566427704	1.898775291159131	5.017918251535489	3.678267802155077e-4	0.03848613811025373	0.461404910529402	up
ENSBIXG00005023159	1.1388131478528365	5.784053709189106	5.193506351073209	2.784917992749901e-4	0.03256970204978197	0.4361068740551399	up
ENSBIXG00005029500	7.567544402259114	2.8084348130276897	5.2580952440809146	2.5167631738953544e-4	0.030682810278439956	0.4346969605380604	up
ENSBIXG00005012054	-1.3916635475676848	5.613013261915583	-5.184781908995465	2.823393541329292e-4	0.03256970204978197	0.42691096776871706	down
ENSBIXG00005027919	-5.327782236421798	1.9325131660252868	-5.0431655097992785	3.533076416659747e-4	0.0380439230253167	0.4026759469968839	down
PB.11984	2.862702352556469	1.405166787197863	4.998632307485064	3.793413336308028e-4	0.039368228648757705	0.38541832582486624	up
ENSBIXG00005019242	1.3034680408544252	7.662151504063765	5.201747415023928	2.749083084897987e-4	0.03256970204978197	0.3807857492399922	up
PB.19631	5.481904180310702	-0.10225741169774678	5.453693050926456	1.8588851592681415e-4	0.027539601151248132	0.3592217454206672	up
ENSBIXG00005004090	-3.3020227467684506	0.8390121039812809	-5.039392154303481	3.554385953626899e-4	0.0380439230253167	0.35766582165218797	down
ENSBIXG00005024440	-1.563539342003489	3.7800344388821463	-5.035519568675149	3.5763969941543316e-4	0.0380439230253167	0.342606426328552	down
PB.38766	3.0628264188228087	1.5674915333125032	4.9443520659445745	4.138369632463842e-4	0.04134544162305333	0.32744908627924385	up
ENSBIXG00005023256	-2.076804166561585	2.0393888095698296	-4.927315596327021	4.2533389579506444e-4	0.04134544162305333	0.3209795937867739	down
ENSBIXG00005005155	1.3510480585975015	5.6016255223889155	5.110841242264581	3.172945502742744e-4	0.03552863977413257	0.3152235052614527	up
ENSBIXG00005021219	1.6418318133278653	2.7495818971651964	4.910796193846495	4.3680377261375925e-4	0.04134544162305333	0.24725714139549737	up
ENSBIXG00005027922	5.685055565251444	2.00953000697755	5.0684677324731915	3.393624650232626e-4	0.037025315094204675	0.23715971109935197	up
ENSBIXG00005002251	-4.810715092161162	-0.12301685484673326	-5.154279378277871	2.962389679788931e-4	0.03376330737723724	0.22651339778198132	down
ENSBIXG00005003242	1.9390448549773125	3.0980806583942804	4.8780140675273	4.605414102118429e-4	0.04134544162305333	0.17787917013996513	up
ENSBIXG00005006548	-1.5404249133872479	3.6834550733669165	-4.9254489269163235	4.2661391583999976e-4	0.04134544162305333	0.1723141344011001	down
